TID,Items
1478,"[1208, 3387, 3676]"
1479,"[184, 519, 2326]"
1480,[868]
1481,"[1144, 2292, 2652, 3208, 3511]"
1482,"[416, 631, 2741, 3039]"
1483,"[1464, 1766, 2732]"
1484,"[417, 538, 1332, 1765, 1903, 2376, 3574, 3810, 3934]"
1485,"[616, 3007, 3626, 3667]"
1486,"[277, 2593]"
1487,"[314, 891, 1502, 3439]"
1488,"[1986, 2265, 3708]"
1489,"[418, 1205, 2803]"
1490,"[1541, 2021]"
1491,"[330, 874, 1762, 1907, 2466, 2979, 3585, 3677]"
1492,"[790, 2445, 2849, 3296]"
1493,"[599, 1014, 2172]"
1494,"[941, 1971, 2108, 2407, 3616]"
1495,"[870, 1458, 1523, 1630, 1725, 1899, 2747, 3101, 3380, 3909]"
1496,"[344, 480, 699, 1184, 1909, 3106, 3616, 3730]"
1497,[3481]
1498,"[1034, 1502, 2808, 3620]"
1499,"[214, 437, 715]"
1500,"[152, 2411, 2593]"
1501,"[3110, 3892]"
1502,"[807, 992, 1354, 2395, 3899]"
1503,"[371, 631, 2085, 3532]"
1504,"[121, 751, 2109, 2439]"
1505,"[783, 1878, 3581]"
1506,"[1468, 3762]"
1507,"[631, 815, 1253, 2741, 3039, 3599]"
1508,"[81, 721, 1694, 2339, 3008]"
1509,"[1188, 1816, 2919, 3546, 3650, 3907]"
1510,"[574, 903, 3845, 3965]"
1511,"[338, 392, 682, 1821, 2401]"
1512,"[837, 2860, 3649]"
1513,"[1386, 2082, 2365, 3019]"
1514,"[176, 1602, 1694, 2247, 2466, 3026]"
1515,"[1816, 2286, 3478]"
1516,"[272, 1903, 3158, 3911]"
1517,"[587, 1017, 1026, 1125, 1893, 2374, 3031, 3864]"
1518,"[495, 871, 1714, 3295, 3931]"
1519,"[437, 740, 1036, 1656, 1859, 3066, 3186, 3681]"
1520,"[557, 707, 974, 1273, 1539, 2580, 3559, 3834]"
1521,"[1275, 1407, 2764, 3921]"
1522,"[291, 874, 990, 992, 1382, 1710, 1810, 1932, 1988, 2453, 3935]"
1523,"[132, 2223]"
1524,"[592, 1115, 2208]"
1525,"[1372, 1738, 2903, 3392]"
1526,"[1608, 3566]"
1527,"[167, 559, 1994, 3142, 3547]"
1528,"[124, 320, 934, 1559, 2520, 2790]"
1529,"[1423, 2171, 2625]"
1530,"[520, 733]"
1531,"[3477, 3527]"
1532,"[126, 1374, 1889, 2016, 3013, 3160, 3488]"
1533,"[179, 905, 1541, 2646, 2852, 3089, 3300, 3523, 3623]"
1534,"[9, 1039, 1399, 1874]"
1535,"[287, 330, 502, 599, 1956, 2085, 2279, 2424, 2544, 3216, 3485, 3871, 3992]"
1536,"[707, 1474, 3192, 3371, 3381]"
1537,"[205, 521, 2513]"
1538,"[699, 1407]"
1539,"[50, 63, 456, 860, 1197]"
1540,"[281, 2227, 3145, 3552]"
1541,"[124, 320, 934, 1559, 2520, 2790]"
1542,"[1746, 1798, 2079, 2573, 2786, 3696]"
1543,"[277, 1909]"
1544,"[372, 1559, 2728, 2936, 3024]"
1545,"[11, 2413]"
1546,"[656, 1239, 1292, 2278, 3205, 3648, 3792]"
1547,"[673, 911, 1228, 3141]"
1548,"[340, 623, 1730, 1767, 1893, 2679, 3825, 3952]"
1549,"[242, 324, 1344]"
1550,"[876, 1750, 3317, 3496]"
1551,"[40, 808, 2112, 2918]"
1552,"[699, 1909, 2140, 2801, 2973, 3240, 3317, 3876]"
1553,"[516, 647, 1194, 1713, 2531, 3261]"
1554,"[797, 986, 1592, 3554]"
1555,"[272, 3158, 3911]"
1556,"[368, 826, 2298, 3114, 3982]"
1557,"[40, 416, 996, 1121, 1638, 2595, 2861, 3021, 3498]"
1558,"[11, 1541, 2674, 2961, 3496]"
1559,"[14, 1598, 1877, 2149]"
1560,"[247, 949, 1750, 2201, 2395, 3441]"
1561,"[442, 517, 641, 946, 1315, 1647, 1884, 2057, 2297, 2899, 3197, 3678]"
1562,"[925, 1946, 2852]"
1563,"[722, 2001, 2760, 2826, 3387, 3715]"
1564,"[720, 879, 1034, 1554]"
1565,"[86, 509, 652, 801, 2268, 3799]"
1566,"[238, 571, 1003, 1480, 1761, 2193, 3931]"
1567,"[123, 682, 1014, 1276, 3989]"
1568,"[156, 911, 1317, 1853, 2094, 2104, 2937, 3246]"
1569,"[868, 1273, 1986, 2783, 3387, 3970]"
1570,[2608]
1571,"[236, 1147, 3732, 3746]"
1572,"[666, 874, 1294, 1572, 2237, 2418]"
1573,"[289, 2598, 2605, 3580, 3588]"
1574,"[696, 1504, 2415, 3934]"
1575,"[39, 2198, 3538]"
1576,"[2842, 2893, 3767]"
1577,"[559, 931, 1768, 3010, 3455, 3695]"
1578,"[38, 471, 531, 830, 860]"
1579,"[293, 419, 1664, 2964, 3511]"
1580,"[1197, 1735, 2245, 2440, 3241, 3621]"
1581,"[140, 325, 1042, 2781, 2997]"
1582,"[133, 1113, 2489, 3013, 3268, 3387, 3788]"
1583,"[236, 1147, 3732, 3746]"
1584,"[246, 405, 565, 1504, 2745, 3427]"
1585,"[1117, 2725, 3835]"
1586,"[2882, 3572]"
1587,"[123, 699, 3484]"
1588,"[917, 1042, 1488, 3538]"
1589,"[24, 1023, 2430, 2590, 2946, 3752, 3922]"
1590,"[188, 634, 1971, 2694, 2989, 3569, 3899]"
1591,"[28, 420, 598, 1971, 3982]"
1592,"[1694, 3873]"
1593,"[544, 2058, 3119, 3287, 3409]"
1594,"[132, 1118, 1859, 2250, 2322, 2669, 2912, 3980]"
1595,"[155, 227, 1557, 3130, 3166, 3350, 3920]"
1596,"[647, 1188, 1700, 2041, 2412, 2457, 3653]"
1597,"[744, 3197, 3526]"
1598,"[891, 1590, 2970]"
1599,"[516, 709, 722, 810, 3552]"
1600,"[222, 2499, 2509, 2561]"
1601,"[178, 830, 3486, 3828]"
1602,"[456, 1501, 1613, 2557]"
1603,"[1014, 3361]"
1604,"[610, 988, 1219, 1678, 1783, 3119]"
1605,"[101, 912, 1700, 1750, 2955, 3140]"
1606,"[73, 146]"
1607,"[179, 720, 1009, 1318, 2315, 2324, 2534, 3392]"
1608,"[36, 69, 2098, 2966]"
1609,"[1451, 2226, 2337, 2397, 2617, 3250]"
1610,"[62, 277, 2053, 3589]"
1611,"[1374, 2239, 2682, 3698]"
1612,"[994, 1301, 1499, 3453]"
1613,"[825, 832, 2112, 2535, 2794, 3023]"
1614,"[402, 442, 1127, 2142]"
1615,"[1859, 1988, 2650, 3257, 3501, 3526]"
1616,"[1239, 1877]"
1617,"[291, 1362, 2877]"
1618,"[2397, 2518, 2743, 3889]"
1619,"[160, 1659, 2016, 2992, 3334, 3547, 3732, 3777]"
1620,"[24, 60, 628, 1447, 2845, 3005, 3390, 3565]"
1621,"[21, 154, 157, 1517, 1694, 2050, 2631, 3577, 3663]"
1622,[511]
1623,"[1132, 1590, 1918, 1965, 2057, 2276]"
1624,"[129, 543, 1068, 2347, 3287, 3774]"
1625,"[934, 1233, 1621, 2500, 3193, 3231, 3498]"
1626,"[808, 858, 1443, 2810, 3293]"
1627,"[1500, 2000, 2375, 3934]"
1628,"[2900, 3229]"
1629,"[340, 1767, 1893, 2040, 2679, 3759]"
1630,"[601, 1228, 1265, 1413, 1452, 2882, 3648, 3656, 3815]"
1631,"[599, 1239, 1971, 2303, 2787, 2842, 3722, 3768]"
1632,"[3461, 3821, 3935]"
1633,"[622, 1194, 2155]"
1634,"[214, 558, 756, 1563, 1678, 2237, 2833, 3649, 3683]"
1635,"[174, 246, 456, 1081, 1725, 1727, 2680, 2716, 3662]"
1636,"[2355, 2717]"
1637,"[492, 2593, 3079, 3133, 3484, 3578, 3613]"
1638,"[209, 354, 1912, 3203, 3458]"
1639,"[773, 804, 978]"
1640,"[62, 277, 444, 724, 2053, 2427, 3589, 3619]"
1641,"[157, 2921, 3390, 3802]"
1642,"[221, 1624, 2118, 3341]"
1643,"[1428, 1859, 2114]"
1644,[1268]
1645,"[38, 1037, 1288, 1702, 2147, 3319, 3625]"
1646,"[387, 2051, 2198, 3556]"
1647,"[86, 1334, 1834, 3296]"
1648,"[583, 1621, 2489, 2897, 3467]"
1649,"[2528, 3271]"
1650,"[1320, 2458, 2630]"
1651,"[845, 1905, 2883, 3228]"
1652,"[68, 314, 1259, 1502, 2589, 3120, 3319, 3439, 3948]"
1653,"[1859, 2680, 2858, 3154]"
1654,"[592, 992, 1388, 1468, 1617, 2385]"
1655,"[1436, 2908, 3106, 3357]"
1656,"[221, 517, 1289, 1400, 2731, 3079]"
1657,"[78, 219, 404, 3066, 3655]"
1658,"[116, 973, 1186, 1531, 2131]"
1659,"[2924, 3581, 3667]"
1660,"[2462, 3685]"
1661,"[2605, 2704, 3752]"
1662,"[300, 1903]"
1663,"[812, 1121, 1474, 2535]"
1664,"[1795, 3926]"
1665,"[868, 881, 1735, 3628, 3995]"
1666,"[318, 442, 2182, 3830, 3864]"
1667,"[574, 903, 3845, 3965]"
1668,"[2653, 3192, 3361, 3675]"
1669,"[318, 1559, 1895, 2418, 2468, 3356]"
1670,"[260, 438, 1993, 2380]"
1671,"[172, 595, 1257, 2683, 3208, 3511]"
1672,"[11, 2413]"
1673,"[1292, 1940, 2377, 2886]"
1674,"[1431, 1678, 2789, 2883]"
1675,"[1030, 1219, 3054, 3523]"
1676,"[1617, 1990, 3338, 3566]"
1677,"[2457, 2531, 3585, 3921]"
1678,"[950, 1576, 1956]"
1679,"[445, 874, 1310, 1475, 3953]"
1680,"[521, 874, 3120]"
1681,"[53, 2234, 2496]"
1682,"[595, 756, 1898, 2477]"
1683,"[195, 1462, 2387, 2861]"
1684,"[592, 809, 1978, 2532, 2610, 2628]"
1685,"[3, 447, 1209, 1893, 2239, 3153]"
1686,"[993, 3552]"
1687,"[2278, 2499, 2917, 3186, 3800]"
1688,"[1269, 1912, 2489, 3192]"
1689,"[694, 1293, 1557, 1913]"
1690,"[21, 540, 1526, 3765]"
1691,"[644, 2308, 2617, 2826]"
1692,"[546, 1889, 2368, 2415, 2452, 2489, 2582]"
1693,"[219, 279, 691, 710, 777]"
1694,"[26, 117, 988, 2842, 2948, 3768]"
1695,"[420, 2790, 3554, 3703, 3939]"
1696,"[2112, 3307]"
1697,"[36, 981, 1990, 2250, 2458, 2852, 3444, 3836]"
1698,"[1775, 3186, 3722, 3736]"
1699,"[48, 216, 1394, 2308]"
1700,"[243, 789, 1635, 3988]"
1701,"[1598, 2415, 3699]"
1702,"[520, 2617, 2687, 3271, 3295]"
1703,"[1468, 2069, 2870, 3252, 3487]"
1704,"[35, 190, 797, 1127, 1909, 2194, 3110, 3305]"
1705,"[545, 885, 1688, 3227]"
1706,"[213, 2368]"
1707,"[50, 1089, 2810, 3684]"
1708,"[2476, 2800, 3277]"
1709,"[174, 1502, 1713, 2265, 2297, 2531, 3450]"
1710,"[553, 808, 2320, 2869, 3148, 3909]"
1711,[2786]
1712,"[17, 613, 1500, 3710]"
1713,"[38, 3960]"
1714,"[43, 438, 1136, 3617, 3828]"
1715,"[518, 877, 1040, 2184, 2907, 3180]"
1716,"[354, 948, 1735, 3171, 3351, 3637]"
1717,"[318, 2302, 2828]"
1718,"[920, 1834, 2896]"
1719,"[1428, 2557, 3923]"
1720,"[1545, 2179, 3250]"
1721,"[531, 1157, 3253]"
1722,"[428, 629, 1268, 2397, 2508, 3147, 3315, 3474]"
1723,"[2699, 3580]"
1724,"[395, 1526, 1755, 1765, 2345, 3196, 3485]"
1725,"[2387, 2471, 2759, 2970, 3559]"
1726,"[586, 2269, 3062, 3669, 3934]"
1727,"[81, 2190, 2449]"
1728,"[625, 894, 1269, 1309, 1694, 2253, 2424, 3340]"
1729,"[1737, 3871]"
1730,"[2164, 2538, 3864]"
1731,"[48, 1200, 1873, 2179, 2666, 2893]"
1732,"[845, 931, 1462]"
1733,"[2069, 2101, 2294, 3168, 3772]"
1734,"[540, 1088, 3296, 3835]"
1735,"[571, 902, 1989, 2016]"
1736,"[1343, 1372, 3854]"
1737,"[188, 1893, 2159, 2708, 3201]"
1738,"[953, 1484, 2561, 3320]"
1739,"[377, 729, 834, 2563]"
1740,"[221, 974, 1075, 1197, 2434, 2760]"
1741,"[34, 78, 998, 1017, 1184, 2760, 3444, 3511, 3910]"
1742,"[1678, 3765]"
1743,"[649, 889, 1004, 1233, 1476, 1586, 3835]"
1744,"[336, 444, 614, 1373, 2896, 2966, 3242, 3356, 3734]"
1745,"[1400, 3079]"
1746,"[1457, 2339]"
1747,"[2506, 3212, 3226]"
1748,[1539]
1749,[2387]
1750,"[69, 1443, 1830, 3291]"
1751,"[837, 1462, 2347]"
1752,"[1128, 1499, 2438, 2889, 2903, 3162]"
1753,[3671]
1754,"[423, 622, 1002, 1467, 1763, 3056, 3955]"
1755,"[233, 1003, 1044, 1405, 1411, 2021, 2842, 3065, 3577, 3764, 3938]"
1756,"[806, 1234, 1364, 1461, 1541, 1828, 2173]"
1757,"[293, 902]"
1758,"[598, 1046, 1750, 2352, 2893, 2953, 3270, 3867]"
1759,"[363, 1067, 1750, 3197]"
1760,"[1722, 2642, 2743, 3168]"
1761,"[811, 1563, 2035]"
1762,"[863, 954, 1205]"
1763,[1545]
1764,"[374, 1735, 1822, 1960, 2708]"
1765,"[247, 913, 1152, 2223, 3010]"
1766,"[192, 647, 2208, 2216, 3008, 3190, 3624]"
1767,"[76, 335, 998, 2278, 3615, 3664]"
1768,"[326, 743, 1256, 2387]"
1769,"[116, 625, 656, 1125, 1208, 1916, 3317, 3387, 3676]"
1770,"[236, 545, 1015, 1630, 1769, 2679, 3023, 3660]"
1771,"[1644, 2477]"
1772,"[1502, 1944, 3023]"
1773,"[214, 756, 2001, 3008, 3261, 3882, 3921]"
1774,"[1738, 1817, 1952, 3024, 3175, 3319]"
1775,"[119, 400, 558, 729, 1628, 2038, 2343, 2413, 2507]"
1776,"[1195, 2842, 2964, 3128, 3259, 3734, 3910]"
1777,"[150, 1080, 1144, 2368, 2445]"
1778,"[220, 877, 1382, 1613, 1678, 2526, 3546]"
1779,"[831, 1630, 1910, 2603, 3267]"
1780,"[878, 1688, 2216, 3583]"
1781,"[188, 1893, 2159, 2708, 3201]"
1782,"[1474, 1940]"
1783,"[289, 1030, 2180, 3010]"
1784,"[1893, 2457, 3267, 3498, 3664]"
1785,"[930, 1093, 1557, 1928, 2819]"
1786,"[26, 252, 988, 1952, 2842, 2948, 3768]"
1787,"[648, 2428, 2781]"
1788,"[874, 1196, 1424, 2873]"
1789,"[68, 1259, 2589, 3120, 3319, 3948]"
1790,"[231, 1697, 3557]"
1791,"[679, 994, 1977, 2272]"
1792,"[59, 216, 874, 1849, 2986, 3351, 3458]"
1793,[1694]
1794,"[310, 690, 1452, 1610, 1614, 3241]"
1795,"[683, 871, 981, 2303]"
1796,"[445, 874, 1310, 1644, 2477]"
1797,"[544, 756, 1314, 1775, 2382, 3008, 3753, 3882]"
1798,"[74, 500, 813, 1026, 2106, 3531]"
1799,"[996, 1428]"
1800,"[1240, 1474, 1486, 1595, 3591, 3861]"
1801,"[1651, 2274, 2480, 3179]"
1802,"[3, 102, 2168, 2580]"
1803,"[837, 1269, 1559, 3453]"
1804,"[188, 628, 1294, 1545, 2179, 2516, 3250, 3305, 3624]"
1805,"[678, 2275, 2726, 3408, 3421]"
1806,"[1794, 1820, 2786, 3722, 3954]"
1807,"[1179, 1342, 1793, 2324, 2858, 3752]"
1808,"[863, 1945, 2001, 2471, 2552, 2685, 3927]"
1809,"[773, 804, 978, 1556, 1624, 2831, 2932, 3273]"
1810,"[139, 167, 480, 1036, 2445, 2645, 3211, 3361, 3940]"
1811,"[387, 1023, 2001, 2255, 2364, 2505, 2740]"
1812,"[1428, 1554, 2114]"
1813,"[361, 1693, 1971, 2231, 3639]"
1814,"[459, 1017, 1796, 1878, 1952, 3788]"
1815,"[74, 93, 3230, 3457, 3655, 3912]"
1816,"[1725, 2550]"
1817,[1621]
1818,"[738, 1536, 2605, 2987, 3066, 3682]"
1819,"[721, 729, 1699, 1877, 2065, 2937]"
1820,"[419, 3066, 3657]"
1821,"[845, 931, 1462]"
1822,"[109, 903, 2115, 3488, 3948]"
1823,"[2321, 3522]"
1824,"[545, 1630]"
1825,"[825, 2225, 2247, 2738, 2966, 3066, 3119]"
1826,"[1524, 2467, 2986, 3025]"
1827,"[1235, 1279, 1941, 3143, 3514]"
1828,"[1737, 1750, 2894, 3600]"
1829,"[325, 3450]"
1830,"[359, 1601, 2669, 3642]"
1831,"[300, 737, 1658, 3626]"
1832,"[1315, 2297, 3197, 3678]"
1833,"[992, 1356, 2333]"
1834,"[273, 2060, 3025]"
1835,"[1005, 1284, 1294, 2013, 2080, 3600]"
1836,"[894, 1228, 1462, 1740, 2864, 2903, 2955, 3092, 3616]"
1837,"[2849, 3111, 3676]"
1838,"[213, 1325, 2320, 2676, 2918]"
1839,"[107, 616, 1132, 1928, 2307, 2684, 2851, 2910, 3368, 3946, 3980, 3988]"
1840,"[998, 2448, 2870]"
1841,"[1105, 1493, 2912]"
1842,"[1917, 2778]"
1843,"[1264, 1899, 1982, 3008, 3676, 3831]"
1844,"[49, 504, 1275, 1903]"
1845,"[24, 250, 620, 1023, 2590, 2946, 3111, 3435, 3655, 3752]"
1846,"[383, 871, 1412, 2193, 2358, 2706]"
1847,"[144, 3124]"
1848,[3828]
1849,"[1923, 2010, 2781]"
1850,"[107, 1132, 1697, 1990, 2851]"
1851,"[911, 1118, 1486, 2052, 3251, 3289]"
1852,"[518, 790, 1374, 2772, 2932]"
1853,"[363, 1067, 1359, 1750, 2223, 3197, 3600]"
1854,"[592, 876, 1750, 3317, 3496]"
1855,"[236, 545, 1015, 1630]"
1856,"[201, 326, 930, 2481, 3106, 3982]"
1857,[3521]
1858,"[1775, 3040, 3523]"
1859,"[238, 924, 933, 1488, 2259, 2705, 2774, 3000]"
1860,"[1039, 1638]"
1861,"[85, 707, 1306, 2860, 3835]"
1862,"[985, 2053, 2385]"
1863,"[1314, 2004, 2372]"
1864,"[1893, 2457, 3498, 3664]"
1865,"[558, 1411, 1559, 2143, 2155, 2231, 2390, 3435]"
1866,"[255, 410, 859, 1508, 2010]"
1867,"[538, 610, 1432, 1784, 3549, 3628]"
1868,"[726, 1136, 2320, 2348, 2634, 2867, 3424, 3492, 3730, 3829, 3857]"
1869,"[2000, 2028, 2176, 2247]"
1870,"[1136, 2004, 3171]"
1871,"[432, 443, 845, 1113, 1836]"
1872,"[1882, 3524, 3907]"
1873,"[26, 94, 952, 1194, 1216, 1541, 2064, 2214, 2527, 2815, 2852]"
1874,"[826, 871, 1007, 1475, 1493, 1940, 2009, 3268, 3501]"
1875,"[567, 2080, 2149]"
1876,"[1302, 1989, 2787, 2893, 3309]"
1877,"[721, 1156, 2446, 3142, 3759, 3810, 3815]"
1878,"[222, 3938]"
1879,"[827, 1762, 2153, 2548, 2987]"
1880,"[395, 531, 1336, 2719, 2904, 3496]"
1881,"[561, 791, 805, 947, 2268, 3160, 3683, 3858]"
1882,"[521, 545, 3576]"
1883,"[1559, 1671, 2079, 2516, 2933, 2996, 3051]"
1884,"[623, 1751, 1859, 1976, 2973, 3035, 3988]"
1885,"[176, 311, 773, 832, 3758]"
1886,"[238, 1617, 2417, 2589, 3214, 3355]"
1887,"[2328, 2457, 2531, 3585, 3921]"
1888,"[951, 2557, 2637, 3556, 3744]"
1889,"[139, 824, 1581, 2610, 3319]"
1890,"[988, 1251, 2387, 3387, 3730]"
1891,"[456, 2437, 2828, 3347, 3387]"
1892,"[1318, 2984, 3498]"
1893,"[361, 925, 1442, 1713, 1723, 2315, 2526, 2858]"
1894,"[1147, 2141, 3168]"
1895,"[50, 1524, 2397, 3196]"
1896,"[219, 580, 2193, 2672]"
1897,"[48, 216, 1394, 2308]"
1898,"[94, 416, 2370, 2651, 3667, 3812]"
1899,"[150, 1080, 1217, 1463, 1478, 1583, 2368, 2445, 3151]"
1900,"[1149, 2782]"
1901,"[238, 824, 1373, 2466, 2840, 3149]"
1902,"[1235, 1279, 1941, 3143, 3514]"
1903,"[1351, 3165]"
1904,"[2992, 3755]"
1905,"[155, 613, 2541, 3515]"
1906,"[107, 399, 703, 1226, 1530, 1762, 2428, 2900]"
1907,"[258, 619, 1502, 1598, 1610, 1944, 1990, 2896, 3023, 3025, 3338, 3546]"
1908,"[1457, 3328]"
1909,"[371, 922, 1412, 2290, 2589, 3411]"
1910,"[424, 767, 824, 827, 2937, 2981]"
1911,"[54, 74, 247, 1909, 2305, 2725]"
1912,"[666, 2535]"
1913,"[211, 988, 1475, 3008, 3147]"
1914,"[1133, 1730, 2491, 3523]"
1915,"[559, 2947, 3079, 3129, 3142, 3655]"
1916,"[338, 368]"
1917,"[183, 193, 707, 734, 1716, 2088, 2561, 3623, 3699]"
1918,"[851, 1504]"
1919,"[1581, 2082, 2191, 2579, 2933, 3979]"
1920,"[3218, 3556]"
1921,"[566, 1009, 1310, 2236]"
1922,"[1350, 1521]"
1923,"[326, 2855, 3368, 3678, 3747]"
1924,"[49, 1789, 3712]"
1925,"[367, 1621, 2085, 2170, 3106, 3220]"
1926,"[21, 216, 518, 1042, 1236, 1750, 2101, 3041, 3320, 3430, 3622, 3914]"
1927,"[171, 2107, 2608]"
1928,"[117, 299, 447, 1823, 2268, 2441, 3097, 3699]"
1929,"[73, 291, 500, 691, 996, 1007, 2060, 3534, 3671, 3807]"
1930,"[599, 3907]"
1931,"[664, 859, 1202]"
1932,"[87, 2364, 2989]"
1933,"[205, 599, 3348, 3402]"
1934,"[201, 416, 925, 993, 2879, 3996]"
1935,"[783, 3514, 3883, 3921]"
1936,"[1186, 1731, 2846, 3054, 3505, 3681]"
1937,"[559, 3245, 3569]"
1938,"[1536, 1940, 2807]"
1939,"[246, 3620]"
1940,"[1164, 3198]"
1941,"[1559, 2831, 2841, 3190]"
1942,"[598, 3293, 3532, 3829]"
1943,"[48, 568, 2079, 2305, 3016, 3186, 3381, 3934]"
1944,"[416, 1017, 2094, 2964, 3487]"
1945,"[930, 1093, 1557, 1928, 2819]"
1946,"[92, 1269, 1498, 1561, 1823, 2138, 2215, 2739, 3651]"
1947,"[794, 3899]"
1948,"[154, 2417, 2752, 2887, 3252]"
1949,"[673, 832, 2636, 3933]"
1950,"[1369, 2840, 2842]"
1951,"[656, 852]"
1952,"[575, 634, 1458, 2445, 3216]"
1953,"[1530, 3871]"
1954,"[2408, 2680, 2855, 3651]"
1955,"[150, 176, 292, 1202, 2611, 2885, 3305, 3622]"
1956,"[318, 529, 803, 1193, 3116]"
1957,"[734, 1716, 2477, 3538, 3648]"
1958,"[540, 1238, 1333]"
1959,"[1753, 1873, 2508, 2725, 2825, 3070, 3993]"
1960,"[545, 2667, 3363]"
1961,"[623, 1836, 2140, 2542]"
1962,"[1816, 2234, 3134, 3277]"
1963,"[87, 974, 1132]"
1964,"[1415, 2339, 2839]"
1965,"[38, 737, 1481, 3730, 3948, 3970]"
1966,"[90, 1202, 2276, 2964, 3683, 3722]"
1967,[3226]
1968,"[1740, 2864, 3616]"
1969,"[96, 1190, 1581, 1648, 1923]"
1970,"[16, 81, 553, 868, 1144, 1689, 1962, 3062, 3677]"
1971,"[8, 1097, 2319, 2496]"
1972,"[2021, 2210, 2339, 3807]"
1973,"[1757, 2519, 2603, 2864, 2889, 3143, 3192, 3496]"
1974,"[1224, 3488]"
1975,"[1003, 1044, 1405, 1952, 2021, 2842, 3065, 3577, 3764, 3938]"
1976,"[95, 1678, 2417, 3356]"
1977,"[622, 1194, 2155]"
1978,"[555, 2145, 2689, 3835]"
1979,"[1458, 1545, 1759]"
1980,"[90, 470, 1135, 1248, 1384, 3371, 3623]"
1981,"[272, 2025, 3557]"
1982,"[720, 1243, 1834, 2073, 3479]"
1983,"[412, 442, 2067]"
1984,"[1432, 2476, 2596, 2681]"
1985,"[2080, 2769]"
1986,"[69, 389, 850, 2227, 3543]"
1987,"[368, 1025, 3307]"
1988,"[1202, 1279, 1705, 2897]"
1989,"[1816, 2234, 3134, 3277]"
1990,"[2416, 2481, 2933, 3169]"
1991,"[444, 2155, 2312, 3628]"
1992,"[1871, 2385, 3197, 3705]"
1993,"[2687, 3455]"
1994,"[221, 2559]"
1995,"[87, 558, 1559, 2125, 2445, 2495]"
1996,"[95, 1176, 1560, 2181, 2930]"
1997,"[543, 1493, 3575]"
1998,"[1276, 1530, 2198]"
1999,"[12, 623, 1990]"
2000,"[1196, 3004, 3656]"
2001,"[112, 517, 1955, 2298, 3647]"
2002,"[233, 289, 1544, 1940, 2722]"
2003,"[1602, 1745, 1931]"
2004,"[3416, 3934]"
2005,"[878, 1738, 2852, 3159, 3878]"
2006,"[148, 673, 785, 913, 1403, 2652]"
2007,"[1577, 1753, 2095, 2260, 3241]"
2008,"[648, 1030, 1234, 2937]"
2009,"[217, 1239, 1286]"
2010,[2706]
2011,"[754, 1578, 1747, 2104, 3426, 3445]"
2012,"[357, 1183, 1233, 2584]"
2013,"[679, 1126, 2171, 3538]"
2014,"[682, 1837, 2954, 3467]"
2015,"[269, 320, 3341]"
2016,"[1581, 1993, 2082, 2191, 2579]"
2017,"[87, 974, 1132, 1466]"
2018,"[357, 1183, 1233, 2584]"
2019,"[1276, 1530, 2198, 2654]"
2020,"[545, 1253, 1931, 2095, 3643]"
2021,"[2343, 2986, 3186]"
2022,"[778, 903, 929, 1260, 2079, 3480, 3964]"
2023,"[423, 950, 1047, 1350, 1862, 1957, 2468, 2998, 3905]"
2024,[98]
2025,"[112, 483, 527, 2258, 3186]"
2026,"[221, 927, 3159, 3816, 3831]"
2027,"[1219, 2428]"
2028,"[1180, 1286, 1853, 2239, 2428, 3079, 3338]"
2029,"[472, 981, 1596, 2432, 2851, 3414]"
2030,"[2233, 2781]"
2031,"[1635, 3609]"
2032,"[277, 640, 2151, 2968, 3624, 3745, 3921]"
2033,"[255, 350, 744, 1007, 1493, 1886, 3796]"
2034,[1986]
2035,"[2141, 2378, 2714, 3025]"
2036,"[558, 1411, 1559, 2143, 2155, 2231, 2390, 3435]"
2037,"[1504, 2303, 3281]"
2038,"[63, 78, 2857]"
2039,"[87, 1327, 2869]"
2040,"[318, 1009, 1559, 2457, 2579, 3003]"
2041,"[432, 1901, 2427, 3059, 3062]"
2042,"[553, 707, 3097, 3949]"
2043,"[571, 988, 1361, 2258, 2481, 2525]"
2044,"[326, 582, 827, 1025, 2180]"
2045,"[1798, 2001, 2337, 3542, 3919, 3933]"
2046,"[432, 1901, 2427, 3059, 3062]"
2047,"[647, 2189, 2197, 2234]"
2048,"[518, 1407, 1675, 1903, 3051, 3119]"
2049,"[48, 240, 1114, 2018, 2795]"
2050,"[293, 1343, 3216, 3673]"
2051,"[902, 1461, 2573]"
2052,"[850, 853, 1351, 1382, 1816]"
2053,"[2060, 2579, 3168, 3932]"
2054,"[1171, 2063, 3116, 3160, 3702]"
2055,"[1468, 2069, 2870, 3252, 3487]"
2056,"[756, 953, 1484, 2561, 2858, 2909, 3320]"
2057,"[509, 1294, 3035]"
2058,"[124, 320, 934, 1559, 2520, 2781, 2790]"
2059,"[953, 1484, 2561, 3320]"
2060,"[917, 1042, 1488, 2387, 3538]"
2061,"[1119, 1210, 2345, 3212, 3478]"
2062,"[192, 1015, 1943, 3104, 3145]"
2063,"[2306, 2544, 2861, 2949]"
2064,"[557, 825, 3828]"
2065,"[1502, 2819, 3114]"
2066,"[1188, 1796, 3788]"
2067,"[261, 874, 1427, 1993, 2030, 3653]"
2068,"[1205, 1493, 2079, 2212, 3988]"
2069,"[2501, 2544, 3105, 3106, 3910]"
2070,"[598, 806, 1223, 1594, 2142, 2187, 3214, 3445]"
2071,"[1374, 2239, 2682, 3698]"
2072,[246]
2073,"[737, 876, 2197, 2567, 2682, 2751, 3190, 3479, 3924]"
